variant_name,prediction,seed,compat_N,well_mixed,payoff_preset,payoff_T,payoff_R,payoff_P,payoff_S,evolution_on,mutation_rate,fermi_k,evolution_interval,dunbar_limit,vision_radius,player_speed,end_cycle,share_TFT,share_ALLC,share_ALLD,share_FTFT,share_TF2T,share_GRIM,share_WSLS,d_share,exploit_last_window,payoff_ALLD,payoff_TFT,payoff_all,known_partners,distinct_partners,games_per_partner,exceeding_dunbar,fixated,stabilized,stabilized_at,nb_character_changes
S1_P3_wellmixed,P3,381425458,200,True,weak_PD,1.6,1.0,0.0,0.0,False,0.0,0.5,100,5,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.20052310085367792,0.32129288997972,1.2866976264657985,0.7989436976799857,0.8964944834371484,5.0,199.0,183.9241708542713,1.0,False,True,11000,0
S1_P3_wellmixed,P3,2121129191,200,True,snowdrift,4.0,3.0,0.0,2.0,False,0.0,0.5,100,5,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.201043318123351,0.32205834152736806,3.2153929289597074,2.798770695619527,2.882095142287563,5.0,199.0,183.9064824120603,1.0,False,True,11000,0
S1_P3_wellmixed,P3,1620985466,200,True,weak_PD,1.6,1.0,0.0,0.0,False,0.0,0.5,100,5,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.19950127527792144,0.32196164377572156,1.2863465895388264,0.7989907577075317,0.8964619240737907,5.0,199.0,183.89462311557784,1.0,False,True,11000,0
S1_P3_wellmixed,P3,686818433,200,True,snowdrift,4.0,3.0,0.0,2.0,False,0.0,0.5,100,5,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.20026448111751863,0.32231576532033807,3.2152503154287393,2.799046849028403,2.8822875423084713,5.0,199.0,183.91708542713567,1.0,False,True,11000,0
S1_P3_wellmixed,P3,744720527,200,True,snowdrift,4.0,3.0,0.0,2.0,False,0.0,0.5,100,5,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.19922379852645186,0.3204233822468126,3.2188578965725227,2.798807690210102,2.8828177314825862,5.0,199.0,183.93974874371867,1.0,False,True,11000,0
S1_P3_wellmixed,P3,381425458,200,True,snowdrift,4.0,3.0,0.0,2.0,False,0.0,0.5,100,5,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.20052310085367792,0.32129288997972,3.2167440661662248,2.798943697679984,2.882503771377233,5.0,199.0,183.9241708542713,1.0,False,True,11000,0
S1_P3_wellmixed,P3,1620985466,200,True,snowdrift,4.0,3.0,0.0,2.0,False,0.0,0.5,100,5,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.19950127527792144,0.32196164377572156,3.215866473848794,2.7989907577075344,2.8823659009357856,5.0,199.0,183.89462311557784,1.0,False,True,11000,0
S1_P3_wellmixed,P3,2121129191,200,True,PD_classic,9.0,5.0,1.0,0.0,False,0.0,0.5,100,15,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.20133015780995356,0.32148475909537855,7.418111018198603,3.994250173209343,4.679022342207196,15.0,199.0,183.9064824120603,1.0,False,True,11000,0
S1_P3_wellmixed,P3,686818433,200,True,PD_classic,9.0,5.0,1.0,0.0,False,0.0,0.5,100,15,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.20062235506274181,0.32160007867089885,7.417391590999954,3.99564399084568,4.6799935108765345,15.0,199.0,183.91708542713567,1.0,False,True,11000,0
S1_P3_wellmixed,P3,744720527,200,True,PD_classic,9.0,5.0,1.0,0.0,False,0.0,0.5,100,15,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.19955185225560154,0.3197673147155947,7.424983421373863,3.9944363386973065,4.680545755232617,15.0,199.0,183.93974874371867,1.0,False,True,11000,0
S1_P3_wellmixed,P3,381425458,200,True,PD_classic,9.0,5.0,1.0,0.0,False,0.0,0.5,100,15,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.2008401197594043,0.3206587988345842,7.420844504681426,3.995113634946473,4.680259808893462,15.0,199.0,183.9241708542713,1.0,False,True,11000,0
